,가락시장,경복궁(정부서울청사),경찰병원,고속터미널,교대(법원.검찰청),구파발,금호,남부터미널(예술의전당),녹번,대청,대치,도곡,독립문,동대입구,매봉,무악재,불광,수서,신사,안국,압구정,약수,양재(서초구청),연신내,오금,옥수,을지로3가,일원,잠원,종로3가,지축,충무로,학여울,홍제
지하철역,가락시장,경복궁(정부서울청사),경찰병원,고속터미널,교대(법원.검찰청),구파발,금호,남부터미널(예술의전당),녹번,대청,대치,도곡,독립문,동대입구,매봉,무악재,불광,수서,신사,안국,압구정,약수,양재(서초구청),연신내,오금,옥수,을지로3가,일원,잠원,종로3가,지축,충무로,학여울,홍제
04시-05시 ,42,44,20,136,61,58,26,14,72,53,8,54,163,20,3,26,33,175,55,13,103,132,73,203,37,172,17,5,0,24,9,0,4,88
05시-06시 ,2580,2241,2581,4488,1456,9877,4044,2323,9122,3101,2321,731,4360,1520,1415,1670,8214,4350,3534,1383,2509,6060,4368,22798,3519,2557,514,1896,1058,670,2620,0,451,8651
06시-07시 ,6502,5079,6799,6074,3449,28081,8838,8152,22587,9378,11300,2793,5069,2369,5866,5226,17960,10581,5680,2423,7047,9030,11798,44298,7384,7778,888,7610,3901,1005,8178,0,1582,20903
07시-08시 ,17735,12138,20537,23272,7666,80061,23479,25563,65529,24073,21653,7739,12848,4809,14873,14806,46945,30407,10018,5144,13638,21822,29559,112456,23300,19930,1954,19811,9884,1451,24490,2,3417,58412
08시-09시 ,20370,18244,25186,41491,12198,75423,34877,41258,71034,32883,23890,10026,16987,7550,19599,18006,57239,42880,16186,8880,22217,36278,41717,133522,28523,28015,3661,22872,15033,2379,23885,1,4624,65428
09시-10시 ,14922,17491,14688,51508,10171,42437,22216,34377,41293,18607,15625,6532,13235,6353,13687,11404,33932,29430,13788,9919,18749,26409,30377,79384,14492,20507,5746,16799,10011,3478,13017,1,3046,41216
10시-11시 ,13313,16244,10907,54914,10909,30823,14166,34666,26544,15119,13331,5789,11898,5846,12231,7900,24361,30331,17551,12416,24596,18591,28017,53434,8939,14180,7281,17606,7161,5657,9403,2,2464,30003
11시-12시 ,12986,20243,9880,68542,13732,29497,12370,38508,22092,13912,14032,6316,12206,7809,12391,6663,22650,25704,24104,18564,31421,17086,31390,51213,7561,13730,9524,17767,7451,8405,8459,2,3303,28518
12시-13시 ,13182,24993,9296,80770,15970,30159,12499,39800,22081,14103,16335,6663,14517,8801,12792,6599,24587,31317,28725,26911,37913,18926,36138,55487,8295,13757,9762,18151,7691,10076,8650,1,4267,30198
13시-14시 ,13293,32749,9625,86411,20078,28706,11566,43254,20088,14384,18072,7094,13763,10088,13532,6130,24568,28872,33748,32528,41655,19380,42064,51806,7845,14059,11197,15503,7176,11264,8279,1,4844,26773
14시-15시 ,13239,39184,9693,95404,23570,28863,9696,44021,16930,13185,16367,7549,13961,14431,16111,5522,24741,22275,42101,43148,51224,18203,46251,47425,6737,13393,13854,17561,6841,13888,7458,3,4955,24107
15시-16시 ,14491,46985,10317,107169,25024,30861,9571,47554,15720,14886,18410,9430,14443,13516,17565,5039,26165,31898,50375,57362,62434,18784,54589,48312,6591,13653,15772,20600,7377,17618,8209,1,6092,23807
16시-17시 ,15779,56618,9797,119276,27662,32583,10599,60315,16607,16565,21154,11001,14899,20231,20325,5399,27237,35397,60080,73215,69507,20319,66361,49828,7682,14832,19514,25369,11316,20819,10744,1,7030,25713
17시-18시 ,20740,74570,15166,134900,44404,34482,10918,102960,17121,22230,32420,16172,16194,25389,36971,6117,26835,42028,86291,111420,93422,24222,117905,47393,10937,16552,40943,35309,11471,31422,9852,1,8006,25141
18시-19시 ,29241,102215,20223,128230,64427,28904,10971,133199,19398,25254,29062,17078,15045,43949,60729,6677,28050,50773,125292,118716,137290,31652,188840,43962,12011,16194,67410,18263,9193,52197,7174,4,7697,24333
19시-20시 ,11973,42413,7143,108768,29273,18140,7146,62054,9643,11134,17284,8419,7058,17846,20935,3050,15454,22647,89792,53566,93033,17694,84510,30426,4682,10234,26694,9690,5191,28984,4959,6,2665,13467
20시-21시 ,9433,34265,5943,117705,25174,14757,5233,43034,7110,7977,12559,6014,5314,14432,14896,2228,12242,22415,63031,43749,71285,13925,61810,24426,3467,8017,18526,6061,3557,17124,3857,8,1662,10784
21시-22시 ,8253,33999,4971,73929,26457,12931,3936,39334,5627,6408,16875,4993,4342,14162,15657,1856,10628,15633,66312,38398,54027,14394,56911,22792,2856,7344,19154,4214,3423,18911,2931,4,1542,8983
22시-23시 ,5779,22910,3348,44933,22234,10388,3209,37901,4335,4581,31793,3909,3106,11001,9587,1200,7153,15316,56355,21438,37178,11261,38549,19365,2347,4841,14797,3426,2062,14516,2386,1,954,6356
23시-24시 ,2470,8658,1086,15715,8315,3126,1443,9296,1647,1591,3108,956,1032,2898,3060,498,2980,6873,25637,7049,12202,4961,13361,9489,702,1980,7865,1465,673,6346,1097,4,241,2542
00시-01시 ,352,942,129,1761,1217,519,215,823,197,222,351,144,122,362,368,84,406,681,3534,657,1891,739,1434,1548,95,353,981,134,110,562,210,5,46,377
01시-02시 ,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
02시-03시 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
03시-04시 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
